keyword,search_volume,competition,conversion_rate
wireless bluetooth headphones,125000,0.85,0.023
over ear headphones,98000,0.78,0.019
noise cancelling headphones,87000,0.92,0.027
bluetooth headphones wireless,76000,0.81,0.021
headphones with microphone,65000,0.72,0.018
wireless headphones for iphone,54000,0.68,0.024
gaming headphones,48000,0.76,0.022
travel headphones,42000,0.64,0.026
work from home headphones,38000,0.59,0.029
kids headphones,35000,0.61,0.031
running headphones,32000,0.67,0.028
headphones with noise cancellation,29000,0.89,0.025
bluetooth headphones with mic,27000,0.74,0.02
wireless over ear headphones,25000,0.83,0.017
headphones for computer,23000,0.66,0.021
music headphones,21000,0.71,0.019
office headphones,19000,0.63,0.027
headphones for iphone,18000,0.69,0.023
wireless headphones for android,17000,0.65,0.025
headphones for zoom meetings,16000,0.58,0.03
